div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2014,31aug2014,Arsenal,3,0,1,1,Leicester,1,1,17,1
E0,2014,13sep2014,Arsenal,4,1,1,2,Man City,1,2,1,19
E0,2014,20sep2014,Arsenal,5,0,3,3,Aston Villa,0,0,2,1
E0,2014,27sep2014,Arsenal,6,1,1,1,Tottenham,1,1,1,31
E0,2014,05oct2014,Arsenal,7,0,0,0,Chelsea,3,2,11,1
E0,2014,18oct2014,Arsenal,8,1,1,2,Hull,1,2,1,16
E0,2014,25oct2014,Arsenal,9,0,3,2,Sunderland,0,0,29,1
E0,2014,01nov2014,Arsenal,10,1,3,3,Burnley,0,0,1,9
E0,2014,09nov2014,Arsenal,11,0,0,1,Swansea,3,2,30,1
E0,2014,22nov2014,Arsenal,12,1,0,1,Man United,3,2,1,20
E0,2014,29nov2014,Arsenal,13,0,3,1,West Brom,0,0,33,1
E0,2014,03dec2014,Arsenal,14,1,3,1,Southampton,0,0,1,27
E0,2014,06dec2014,Arsenal,15,0,0,2,Stoke,3,3,28,1
E0,2014,13dec2014,Arsenal,16,1,3,4,Newcastle,0,1,1,22
E0,2014,21dec2014,Arsenal,17,0,1,2,Liverpool,1,2,18,1
E0,2014,26dec2014,Arsenal,18,1,3,2,QPR,0,1,1,25
E0,2014,28dec2014,Arsenal,19,0,3,2,West Ham,0,1,34,1
E0,2014,01jan2015,Arsenal,20,0,0,0,Southampton,3,2,27,1
E0,2014,11jan2015,Arsenal,21,1,3,3,Stoke,0,0,1,28
E0,2014,18jan2015,Arsenal,22,0,3,2,Man City,0,0,19,1
E0,2014,01feb2015,Arsenal,23,1,3,5,Aston Villa,0,0,1,2
E0,2014,07feb2015,Arsenal,24,0,0,1,Tottenham,3,2,31,1
E0,2014,10feb2015,Arsenal,25,1,3,2,Leicester,0,1,1,17
E0,2014,21feb2015,Arsenal,26,0,3,2,Crystal Palace,0,1,12,1
E0,2014,01mar2015,Arsenal,27,1,3,2,Everton,0,0,1,13
E0,2014,04mar2015,Arsenal,28,0,3,2,QPR,0,1,25,1
E0,2014,14mar2015,Arsenal,29,1,3,3,West Ham,0,0,1,34
E0,2014,21mar2015,Arsenal,30,0,3,2,Newcastle,0,1,22,1
E0,2014,04apr2015,Arsenal,31,1,3,4,Liverpool,0,1,1,18
E0,2014,11apr2015,Arsenal,32,0,3,1,Burnley,0,0,9,1
E0,2014,26apr2015,Arsenal,33,1,1,0,Chelsea,1,0,1,11
E0,2014,04may2015,Arsenal,34,0,3,3,Hull,0,1,16,1
E0,2014,11may2015,Arsenal,35,1,0,0,Swansea,3,1,1,30
E0,2014,17may2015,Arsenal,36,0,1,1,Man United,1,1,20,1
E0,2014,20may2015,Arsenal,37,1,1,0,Sunderland,1,0,1,29
E0,2014,24may2015,Arsenal,38,1,3,4,West Brom,0,1,1,33
E0,2015,09aug2015,Arsenal,1,1,0,0,West Ham,3,2,1,34
E0,2015,16aug2015,Arsenal,2,0,3,2,Crystal Palace,0,1,12,1
E0,2015,24aug2015,Arsenal,3,1,1,0,Liverpool,1,0,1,18
E0,2015,29aug2015,Arsenal,4,0,3,1,Newcastle,0,0,22,1
E0,2015,12sep2015,Arsenal,5,1,3,2,Stoke,0,0,1,28
E0,2015,19sep2015,Arsenal,6,0,0,0,Chelsea,3,2,11,1
E0,2015,26sep2015,Arsenal,7,0,3,5,Leicester,0,2,17,1
E0,2015,04oct2015,Arsenal,8,1,3,3,Man United,0,0,1,20
E0,2015,17oct2015,Arsenal,9,0,3,3,Watford,0,0,32,1
E0,2015,24oct2015,Arsenal,10,1,3,2,Everton,0,1,1,13
E0,2015,31oct2015,Arsenal,11,0,3,3,Swansea,0,0,30,1
E0,2015,08nov2015,Arsenal,12,1,1,1,Tottenham,1,1,1,31
E0,2015,21nov2015,Arsenal,13,0,0,1,West Brom,3,2,33,1
